,Train,2013
0,Total U.S.-Canadian border,29086
1,Total top 5 gateways,16277
2,"International Falls, MN",3902
3,"Port Huron, MI",3607
4,"Warroad, MN",3211
5,"Detroit, MI",3101
6,"Blaine, WA",2456
