,Truck,2009
0,Total U.S.-Mexican border,4291465
1,Total top 5 gateways,3407336
2,"Laredo, TX",1382319
3,"Otay Mesa, CA",684425
4,"El Paso, TX",644272
5,"Hidalgo, TX",419426
6,"Calexico East, CA",276894
