,Personal vehicle passengers ─ top 5 gateways,2015
0,"San Ysidro, CA",25646073
1,"El Paso, TX",19982407
2,"Otay Mesa, CA",12225410
3,"Laredo, TX",10985281
4,"Hidalgo, TX",9271544
