,Bus passengers – top 5 gateways,2004
0,"Buffalo-Niagara Falls, NY",1222775
1,"Detroit, MI",930725
2,"Blaine, WA",329297
3,"Champlain-Rouses Point, NY",277018
4,"Sault Ste. Marie, MI",223800
