,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Certificated carriersa,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Jet fuel (million gallons),1954,3889,7857,7558,8519,10115,12212,11360,11598,11960,12501,12812,13187,13658,13303,14491,13904,13112,12287,12417,13380,13284,13019,12999,12469,11147,11057,10828,10238,10156,10321
3,General aviationb,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Aviation gasoline (million gallons),242,292,551,412,520,421,353,354,314,268,266,287,289,292,311,345,333,279,277,272,273,295,283,274,248,227,221,216,206,197,197
5,Jet fuel (million gallons),N,56,208,453,766,691,663,577,494,454,464,560,608,642,815,967,972,918,938,932,1231,1527,1643,1486,1706,1447,1435,1456,1435,1260,1370
6,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Gasoline, diesel and other fuels (million gallons)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,"Light duty vehicle, short wheel base and motorcyclec",41171,49723,67879,74253,70186,71700,69759,64501,65627,67246,68079,68268,69419,70094,71901,73495,73275,73752,75662,75646,75604,77608,75230,90052,86079,86140,87215,88359,88600,88611,89301
9,"Light duty vehicle, long wheel basec",N,U,12313,19081,23796,27363,35611,38217,40929,42851,44112,45605,47354,49388,50462,52859,52939,53522,55220,60758,63417,58869,60685,36910,34925,35711,36251,35335,35114,35159,37343
10,Single-unit 2-axle 6-tire or more truckd,N,13848,3968,5420,6923,7399,8357,8172,8237,8488,9032,9216,9409,9576,6817,9372,9563,9667,10321,8880,8959,9501,9852,16314,17144,16253,15097,14215,14376,14502,14894
11,Combination truck,N,6658,7348,9177,13037,14005,16133,16809,17216,17748,18653,19777,20193,20302,25158,24537,25666,25512,26480,23815,24191,27689,28107,30904,30561,28050,29927,28181,27975,28795,29118
12,Bus,827,875,820,1053,1018,834,895,864,878,929,964,968,990,1027,1040,1148,1112,1026,1000,969,1360,1120,1148,2022,2057,1987,1921,1936,2063,2117,2233
13,Transite,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Electricity (million kWh),2908,2584,2561,2646,2446,4216,4837,4853,4716,4865,5081,5068,4923,4908,4962,5126,5382,5485,5529,5508,5657,5765,5770,6216,6337,6492,6414,6534,6506,6651,6673
