,Personal vehicle passengers – top 5 gateways,2011
0,"Buffalo-Niagara Falls, NY",12687201
1,"Blaine, WA",8312888
2,"Detroit, MI",7202633
3,"Port Huron, MI",3768493
4,"Champlain-Rouses Point, NY",2402487
