,Personal vehicle passengers ─ top 5 gateways,2007
0,"San Ysidro, CA",28390175
1,"El Paso, TX",23674992
2,"Laredo, TX",13367960
3,"Hidalgo, TX",13304851
4,"Brownsville, TX",13062876
