,Personal vehicles ─ top 5 gateways,2009
0,"San Ysidro, CA",13354887
1,"El Paso, TX",10529485
2,"Hidalgo, TX",6177838
3,"Brownsville, TX",5512863
4,"Laredo, TX",5452111
