,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Aircraft-kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Domestic operations,1381,1825,3328,2635,3663,4869,6378,6203,6429,6689,7046,7448,7736,7897,8095,8572,9112,8923,9033,9826,10625,10809,10631,10835,10374,9552,9617,9663,9586,9600,9571,9730
2,International operations,293,457,764,537,538,668,1224,1298,1455,1542,1570,1606,1679,1793,1909,1972,2063,2033,1966,2030,2257,2471,2599,2707,2730,2574,2720,2861,"(R) 2,848",2830,2881,2937
3,Available seat-kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Domestic operations,84040,152545,343048,346452,525827,728641,918225,887653,912562,936834,962630,992094,1028392,1049334,1064768,1124715,1168853,1134267,1105983,1121732,1208459,1220953,1200573,1228864,1181646,1099892,1110304,1122966,1125881,1140065,1160784,1218166
5,International operations,21480,47529,83622,103220,136011,177958,293950,300091,331250,340909,339746,347011,355194,368039,382079,391040,408850,395445,365789,362739,400924,435469,453112,477226,493424,469712,486042,506531,502879,510059,"(R) 525,406",536337
6,Passenger-kilometers (millions),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,Domestic operations,49177,83504,167608,192464,307008,443959,556629,544096,570938,582948,625086,650033,699504,725288,744730,785263,829775,782956,778157,813687,898327,939489,947052,977779,938717,887941,908788,926359,934226,949018,978114,1033047
8,International operations,13367,27019,44358,56109,86795,117863,203361,201508,223619,231369,239966,249258,259928,272552,277096,290115,310278,287015,276945,271232,312327,340094,356709,377329,387033,367343,393277,402752,405752,415479,"(R) 421,237",429517
9,Fuel consumed (million liters),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
10,Domestic operations,7397,14721,29742,28610,32249,38289,46228,43002,43903,45273,47320,48498,49919,51700,50358,54853,56272,52496,48916,49520,53339,52904,51839,51791,48021,42924,42612,41774,39519,39130,"(R) 39,590",41368
11,International operations,2143,4845,8491,7378,6614,9418,14906,14717,15442,15565,16373,17078,17633,18782,18607,19974,20850,20197,19226,19755,21169,22616,22779,23487,23419,21657,22870,24691,24629,24557,23929,24304
12,Seats per aircraft,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
13,Domestic operations,60.9,83.6,103.1,131.5,143.6,149.6,144.0,143.1,141.9,140.1,136.6,133.2,132.9,132.9,131.5,131.2,128.3,127.1,122.4,114.2,113.7,113.0,112.9,113.4,113.9,115.1,115.5,116.2,116.2,116.2,116.2,117.2
14,International operations,73.3,104.0,109.4,192.1,252.7,266.2,240.2,231.2,227.6,221.1,216.4,216.1,211.5,205.3,200.1,198.3,198.2,194.5,186.0,178.7,177.6,176.2,174.3,176.3,180.7,182.5,178.7,177.0,177.0,177.0,177.0,178.0
15,Seat-kilometers per liter,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
16,Domestic operations,11.4,10.4,11.5,12.1,16.3,19.0,19.9,20.6,20.8,20.7,20.3,20.5,20.6,20.3,21.1,20.5,20.8,21.6,22.6,22.7,22.7,23.1,23.2,23.7,24.6,25.6,26.1,26.9,28.5,29.1,(R) 29.3,29.4
17,International operations,10.0,9.8,9.8,14.0,20.6,18.9,19.7,20.4,21.5,21.9,20.7,20.3,20.1,19.6,20.5,19.6,19.6,19.6,19.0,18.4,18.9,19.3,19.9,20.3,21.1,21.7,21.3,20.5,20.4,20.8,22.0,22.1
18,Energy intensity (kilojoule/passenger-kilometer),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
19,Domestic operations,5659,6633,6677,5593,3952,3245,3125,2974,2893,2922,2848,2807,2685,2682,2544,2628,2552,2523,2365,2290,2234,2119,2060,1993,1925,1819,1764,1697,1592,1551,"(R) 1,523",1507
20,International operations,6031,6748,7202,4948,2867,3007,2758,2748,2598,2531,2567,2578,2552,2593,2527,2591,2528,2648,2612,2741,2550,2502,2403,2342,2277,2218,2188,2307,2284,2224,2137,2129
21,Load factor (percent),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,Domestic operations,58.5,54.7,48.9,55.6,58.4,60.9,60.6,61.3,62.6,62.2,64.9,65.5,68.0,69.1,69.9,69.8,71.0,69.0,70.4,72.5,74.3,76.9,78.9,79.6,79.4,80.7,81.9,82.5,83.0,83.2,84.3,84.8
23,International operations,62.2,56.8,53.0,54.4,63.8,66.2,69.2,67.1,67.5,67.9,70.6,71.8,73.2,74.1,72.5,74.2,75.9,72.6,75.7,74.8,77.9,78.1,78.7,79.1,78.4,78.2,80.9,79.5,80.7,81.5,80.2,80.1
