,Personal vehicles ─ top 5 gateways,2011
0,"San Ysidro, CA",12373011
1,"El Paso, TX",9148377
2,"Hidalgo, TX",4878003
3,"Laredo, TX",4746355
4,"Otay Mesa, CA",4213804
