,Train,2004
0,Total U.S.-Mexican border,7844
1,Total top 5 gateways,7282
2,"Laredo, TX",3443
3,"Eagle Pass, TX",1653
4,"Brownsville, TX",998
5,"El Paso, TX",744
6,"Nogales, AZ",444
