,Train passengers – top 5 gateways,2015
0,"Skagway, AK",84849
1,"Blaine, WA",77015
2,"Champlain-Rouses Point, NY",45672
3,"Buffalo-Niagara Falls, NY",20792
4,"Port Huron, MI",9051
