,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
0,Revenue freight ton-miles (millions),572309.0,697878.0,764809.0,754252.0,918958.0,876984.0,1033969.0,1038875.0,1066781.0,1109309.0,1200701.0,1305688.0,1355975.0,1348926.0,1376802.0,1433461.0
1,Car-miles (millions),28170.0,29336.0,29890.0,27656.0,29277.0,24920.0,26159.0,25628.0,26128.0,26883.0,28485.0,30383.0,31715.0,31660.0,32657.0,33851.0
2,Tons per car load,44.4,48.9,54.9,60.8,67.1,67.7,66.6,66.2,66.0,64.4,63.4,65.3,66.6,63.4,64.1,63.4
3,Fuel consumed (million gallons),3463.0,3592.0,3545.0,3657.0,3904.0,3110.0,3115.0,2906.0,3005.0,3088.0,3334.0,3480.0,3579.0,3575.0,3583.0,3715.0
4,Energy intensity (Btu/revenue freight ton-mile),839.0,714.0,643.0,672.0,589.0,492.0,418.0,388.0,391.0,386.0,385.0,370.0,366.0,368.0,361.0,359.0
5,Energy intensity (Btu/car-mile),17051.0,16983.0,16450.0,18341.0,18495.0,17310.0,16516.0,15727.0,15952.0,15932.0,16234.0,15886.0,15652.0,15662.0,15218.0,15222.0
