,Rail Container,2003
0,Total U.S.-Mexican border,607475
1,Total top 5 gateways,596773
2,"Laredo, TX",313244
3,"Brownsville, TX",98622
4,"Eagle Pass, TX",88329
5,"El Paso, TX",50893
6,"Nogales, AZ",45685
