,Personal vehicle passengers – top 5 gateways,2012
0,"Buffalo-Niagara Falls, NY",13062312
1,"Blaine, WA",9121154
2,"Detroit, MI",7326327
3,"Port Huron, MI",3946252
4,"Champlain-Rouses Point, NY",2581591
