,Train,2002
0,Total U.S.-Canadian border,32822
1,Total top 5 gateways,18920
2,"Port Huron, MI",4707
3,"Detroit, MI",4278
4,"International Falls, MN",3662
5,"Buffalo-Niagara, NY",3320
6,"Warroad, MN",2953
