,Ref. no.,States,Consolidated nonattainment area name a,Number of areas in nonattainment d,"Area population, in 1,000s h",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
99,98,PA,Pittsburgh-Beaver  Valley,.,1,2,1,.,.,Â,335,410,21,Â,410
100,99,PA,Scranton-Wilkes-Barre,1,.,.,.,.,.,763,Â,Â,Â,Â,763
101,100,PA,Warren  Co,.,.,2,.,.,.,Â,Â,20,Â,Â,20
102,101,PA,York,1,.,.,.,.,.,473,Â,Â,Â,Â,473
103,102,PA-DE-NJ-MD,Philadelphia-Wilmington-Trenton,1,.,.,.,.,.,6311,Â,Â,Â,Â,6311
104,103,PA-NJ,Allentown-Bethlehem,1,.,1,Â,Â,Â,740,Â,102,Â,Â,740
105,104,PR,Guaynabo Co.,.,.,.,1,.,.,Â,Â,Â,92,Â,92
106,105,RI,Providence (all of RI),1,.,.,.,.,.,1048,Â,Â,Â,Â,1048
107,106,TX,Beaumont-Port  Arthur,1,.,.,.,.,.,385,Â,Â,Â,Â,385
108,107,TX,Dallas-Fort  Worth,1,.,.,.,.,.,4589,Â,Â,Â,Â,4589
109,108,TX,El  Paso,1,1,.,1,.,.,679,62,Â,563,Â,679
110,109,TX,Houston-Galveston-Brazoria,1,.,.,.,.,.,4669,Â,Â,Â,Â,4669
111,110,UT,Ogden,.,.,.,1,.,.,Â,Â,Â,77,Â,77
112,111,UT,Salt  Lake City,.,.,1,1,.,.,Â,Â,898,898,Â,898
113,112,UT,Tooele  Co.,.,.,1,.,.,.,Â,Â,40,Â,Â,40
114,113,UT,Utah  Co. (Provo),.,1,.,1,.,.,Â,118,Â,368,Â,368
115,114,VA,"Smyth Co., White Top",1,.,.,.,.,.,Â,0,Â,Â,Â,0
116,115,WA,Spokane,.,1,.,1,.,.,Â,322,Â,204,Â,322
117,116,WA,Wallula,.,.,.,1,.,.,Â,Â,Â,0,Â,0
118,117,WA,Yakima,.,1,.,1,.,.,Â,Â,Â,63,Â,63
119,118,WI,Door  Co.,1,.,.,.,.,.,27,Â,Â,Â,Â,27
120,119,WI,Manitowoc  Co.,1,.,.,.,.,.,82,Â,Â,Â,Â,82
121,120,WI,Milwaukee-Racine,1,.,.,.,.,.,1839,Â,Â,Â,Â,1839
122,121,WV,Follansbee,.,.,.,1,.,.,Â,Â,Â,2,Â,2
123,122,WV,New  Manchester Gr. (in Hancock Co),.,.,1,.,.,.,Â,Â,9,Â,Â,9
124,123,WV,Wier.-Butler-Clay  (in Hancock Co),.,.,1,1,.,.,Â,Â,16,15,Â,16
125,124,WY,Sheridan,.,.,.,1,.,.,Â,Â,Â,15,Â,15
126,National Totals (130 areas) o,Â,Â,38,20,33,78,10,0,99824,34047,4664,29919,1375,113090
