,Bus passengers – top 5 gateways,2013
0,"Buffalo-Niagara Falls, NY",626145
1,"Champlain-Rouses Point, NY",387263
2,"Detroit, MI",330329
3,"Blaine, WA",314526
4,"Skagway, AK",151927
