,Â,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,Vehicles registered (thousands),235331.0,234624.0,236760.0,243011.0,247421.0,250845.0,254403.0,255918.0,254213.0,250070.0,253216.0,253639.0,255877.0,260351.0
1,Vehicle-miles traveled (millions),2795610.0,2855508.0,2890221.0,2964788.0,2989430.0,3014371.0,3031124.0,2976528.0,2956764.0,2967266.0,2950402.0,2969433.0,2988280.0,3025656.0
2,Fuel consumed (million gallons),163478.0,168682.0,170069.0,173531.0,174787.0,175023.0,176203.0,170765.0,168140.0,170411.0,168452.0,168621.0,169651.0,173347.0
3,Average miles traveled per vehicle (thousands),11.9,12.2,12.2,12.2,12.1,12.0,11.9,11.6,11.6,11.9,11.7,11.7,11.7,11.6
4,Average miles traveled per gallon,17.1,16.9,17.0,17.1,17.1,17.2,17.2,17.4,17.6,17.4,17.5,17.6,17.6,17.5
5,Average fuel consumed per vehicle (gallons),695.0,719.0,718.0,714.0,706.0,698.0,693.0,667.0,661.0,681.0,665.0,665.0,663.0,666.0
