,Personal vehicles – top 5 gateways,2011
0,"Buffalo-Niagara Falls, NY",5912282
1,"Blaine, WA",4288924
2,"Detroit, MI",4174337
3,"Port Huron, MI",1842632
4,"Point Roberts, WA",1093910
