,Personal vehicle passengers – top 5 gateways,2004
0,"Buffalo-Niagara Falls, NY",13195191
1,"Detroit, MI",10574206
2,"Blaine, WA",4936364
3,"Port Huron, MI",3909238
4,"Champlain-Rouses Point, NY",3538682
