,Truck Container,2002
0,Total U.S.-Mexican border,4434441
1,Total top 5 gateways,3556930
2,"Laredo, TX",1437580
3,"Otay Mesa/San Ysidro, CA",726318
4,"El Paso, TX",714931
5,"Hidalgo, TX",386985
6,"Calexico East, CA",291116
