,Truck Container,2002
0,Total U.S.-Canadian border,6820052
1,Total top 5 gateways,4544669
2,"Detroit, MI",1668496
3,"Buffalo-Niagara, NY",1208096
4,"Port Huron, MI",907291
5,"Blaine, WA",409786
6,"Champlain-Rouses Point, NY",351000
