,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Intercity  ton-miles, total (millions)",U,U,U,584100.0,591400,601100.0,619200,616500,619800,617700,577300.0,576100.0,586200.0,590200.0,599600.0,607500,581300,557700,629900,U
1,Crude oil,U,U,U,334800.0,322600,335900.0,338300,337400,334100,321100,283400.0,277000.0,286600.0,284500.0,283700.0,293500,300500,266600,330700,U
2,Petroleum  products,U,U,U,249300.0,268800,265200.0,280900,279100,285700,296600,293900.0,299100.0,299600.0,305700.0,315900.0,314000,"(R) 280,900",291100,299200,U
3,Tons  transported (millions),U,U,U,1598.9,U,1798.5,U,U,U,U,2003.7,1864.4,1862.1,1846.8,1860.9,U,U,U,U,U
