,Bus passengers – top 5 gateways,2008
0,"Buffalo-Niagara Falls, NY",1040700
1,"Detroit, MI",720014
2,"Blaine, WA",335951
3,"Champlain-Rouses Point, NY",306006
4,"Sault Ste. Marie, MI",208288
