,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,"Occupant fatalities, large truck",U,U,1262,705,670,648,621,723,742,759,754,708,689,726,766,804,805,802
1,Occupant  fatality rate,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,"Per  100 million vehicle-miles, large truck",U,U,1.2,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4
3,"Per  10,000 registered vehicles, large truck",U,U,2.2,1.1,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
4,Vehicle  involvement rate (fatal crashes),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
5,"Per  100 million vehicle-miles, large truck",U,U,5.0,3.3,2.7,2.5,2.6,2.6,2.5,2.4,2.4,2.3,2.1,2.2,2.2,2.2,2.1,2.0
6,"Per  10,000 registered vehicles, large truck",U,U,9.3,7.7,7.0,6.7,6.8,6.9,6.4,6.3,6.2,6.1,5.8,6.1,6.0,5.8,5.4,5.1
