,Buses – top 5 gateways,2013
0,"Detroit, MI",23295
1,"Buffalo-Niagara Falls, NY",22222
2,"Blaine, WA",15078
3,"Skagway, AK",12063
4,"Champlain-Rouses Point, NY",10224
