,Buses – top 5 gateways,2014
0,"Detroit, MI",21247
1,"Buffalo-Niagara Falls, NY",20298
2,"Blaine, WA",15284
3,"Skagway, AK",12769
4,"Champlain-Rouses Point, NY",9838
