,Â,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Urban VMT, total (millions)",855265,1044098,1275484,1288497,1363054,1409672,1449247,1489534,1523886,1552956,1595620,1627618,1663773,1686642,1727596,1805508,1892265,1951870,1977047,1994519,1983091,1974583,1982357,1972094,1992191,2046411,2104728
1,Interstate,161242,216188,278901,285325,303265,317399,330577,341528,351579,361433,374622,383259,393465,399986,408618,432633,454385,469070,477283,483315,476091,474798,477692,476704,484547,505309,519843
2,Other arterialb,484189,578270,699233,707518,745618,773978,797899,815170,834623,846627,862996,878153,900392,913936,937357,973936,1020089,1048219,1060098,1068130,1062226,1053529,1052572,1044104,1052184,1068927,1085036
3,Collectorc,83043,89578,106297,107281,116065,117887,120088,126929,129310,130146,131905,131603,135372,137921,141874,153751,162108,168038,173210,174661,175389,179993,180565,178778,179513,188547,205053
4,Local,126791,160062,191053,188373,198106,200408,200683,205907,208374,214750,226097,234603,234544,234799,239747,245188,255683,266543,266456,268413,269385,266264,271528,272507,275946,283628,294796
5,"Rural VMT, total (millions)",672030,730728,868878,883553,884097,886706,908341,933289,960194,999277,1032528,1062623,1083152,1110697,1128160,1085385,1070248,1037937,1037069,1035303,990418,982180,984148,974038,976624,941912,920928
6,Interstate,135084,154357,200173,205011,205557,208308,215568,223382,232565,240255,251520,260166,268180,273619,279962,269945,266996,258790,257913,256438,243290,242178,245647,243587,245872,234303,231372
7,Other arterialb,262774,282803,330866,334755,344062,349567,357329,368595,378847,392057,403484,413320,420599,427482,433805,416596,409944,398932,394499,393465,374273,372860,376413,373099,371954,358762,355119
8,Collectorc,189468,206669,240460,245630,234910,226296,230529,236148,241030,254100,257868,264453,267231,272109,275007,263662,260931,251587,251375,251514,241158,231337,229357,227754,228771,221223,208689
9,Local,84704,86899,97379,98157,99568,102535,104915,105164,107752,112865,119656,124684,127142,137487,139386,135182,132377,128628,133282,133886,131697,135805,132731,129597,130027,127623,125747
10,"Urban VMT per lane-mile, total (thousands)",613,677,764,766,775,782,794,809,820,825,844,858,869,857,861,856,860,862,856,851,829,808,805,801,796,775,785
11,Interstate,3327,3773,4483,4542,4508,4588,4667,4785,4897,5002,5131,5229,5323,5370,5440,5436,5479,5455,5427,5414,5245,5221,5175,5142,5150,5108,5070
12,Other arterialb,1451,1556,1751,1758,1783,1778,1803,1828,1857,1866,1901,1950,1974,1997,2025,2012,2019,2001,1989,1977,1923,1853,1845,1860,1851,1837,1892
13,Collectorc,572,552,634,649,659,656,655,686,692,689,703,706,718,728,743,741,745,745,747,747,723,713,702,709,701,695,688
14,Local,146,168,184,179,181,179,178,181,181,184,192,198,196,189,188,183,184,187,183,181,179,174,176,175,174,168,173
15,"Rural VMT per lane-mile, total (thousands)",103,113,136,138,139,140,144,148,152,157,165,169,172,177,179,175,174,170,170,169,163,161,161,159,160,157,151
16,Interstate,1031,1170,1473,1502,1540,1576,1642,1693,1749,1804,1888,1939,1993,2032,2080,2070,2088,2061,2074,2076,1981,1987,1987,1967,1971,1939,1949
17,Other arterialb,518,555,640,646,653,665,674,695,711,730,750,766,778,788,797,780,771,753,744,742,705,694,694,693,691,676,671
18,Collectorc,132,141,164,167,163,158,161,167,170,179,182,187,189,192,195,190,189,183,184,184,177,168,166,166,167,163,156
19,Local,19,20,23,23,23,24,25,25,25,26,29,30,30,33,33,33,32,32,33,33,32,33,33,32,32,32,31
