,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014
0,"Air, certificated carrier",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Domestic operations,5659,6633,6677,5593,3952,3245,3125,2974,2893,2922,2848,2807,2685,2682,2544,2628,2552,2523,2365,2290,2234,2119,2060,1993,1925,1819,1764,1697,1592,1551,1527
2,International operations,6031,6748,7202,4948,2867,3007,2758,2748,2598,2531,2567,2578,2552,2593,2527,2591,2528,2648,2612,2741,2550,2502,2403,2342,2277,2218,2188,2307,2284,2224,2137
3,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2208,2192,2506,"(R) 2,527",2547,2533,2519,2542
5,"Passenger carsa,d",2947,2921,3174,3109,2850,2798,2499,2395,2428,2482,2472,2439,2427,2397,2385,2407,1927,1920,1923,1908,1878,1915,1900,N,N,N,N,N,N,N,N
6,"Motorcycleb,c",U,U,1500,1496,1364,1263,1260,1294,1310,1332,1356,1490,1490,1490,1490,1490,1110,1120,1104,1086,872,885,744,1432,1517,1762,"(R) 1,754","(R) 1,749",1747,1747,1747
7,"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2974,2727,"(R) 3,547","(R) 3,571",3587,3583,3575,3588
8,"Other 2-axle 4-tire vehiclesa,d",U,U,4472,4304,3744,3259,2919,2804,2791,2803,2848,2975,2989,2992,2995,3024,5093,4938,5024,5436,5264,4788,4534,N,N,N,N,N,N,N,N
9,"Truck, single-unit 2-axle 6-tire or morec",U,U,12007,12835,14250,13343,13195,12660,12529,12252,12077,12044,12034,11731,11735,10924,7799,7656,7881,6456,6600,7095,6547,11143,11075,11080,11178,11222,11156,11150,11167
10,"Truck, combination",U,17231,17139,16095,15556,14702,14014,14253,14178,14105,14032,14038,13917,13354,16061,15189,13044,12373,12900,11246,11462,12957,12989,13749,13624,13674,13941,14099,14013,14009,14050
11,Bus,U,U,U,U,U,720,604,581,587,586,581,583,583,580,574,579,290,305,290,280,389,329,316,538,536,534,539,543,540,539,540
12,Transit motor bus,N,N,N,N,1798,2222,2441,2470,2647,2586,2728,2724,2734,"(R) 2,465","(R) 2,433","(R) 2,370","(R) 2,433","(R) 2,359","(R) 2,269","(R) 2,204","(R) 2,246","(R) 2,102","(R) 2,082","(R) 2,021","(R) 1,987","(R) 2,284","(R) 2,025","(R) 1,205","(R) 2,621",2061,1810
13,Amtrak,N,N,N,1562,1408,1370,1354,1297,1327,1323,1246,1322,1443,1500,1479,1537,1762,1764,1663,1406,1356,1327,1277,1196,1144,1162,1094,1068,1023,1054,1068
