,Rail Container,2002
0,Total U.S.-Canadian border,1824976
1,Total top 5 gateways,1305446
2,"Port Huron, MI",424635
3,"Detroit, MI",293300
4,"International Falls, MN",238515
5,"Portal, ND",199637
6,"Buffalo-Niagara, NY",149359
