,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,"Marketed production, total",12771038,21920642,20179724,18593792,19709525,19506474,19812241,19866093,19961348,19804848,20197511,20570295,19884780,19974360,19517491,18927095,19409674,20196346,21112053,21604158
1,"Delivered  to consumers, total",10382681,19018462,18216233,16818882,18898635,19660161,20005508,20782693,20437798,20680843,21539964,20495108,21227015,20562727,20724883,20315054,19958451,21249389,21400397,20965704
2,"Consumed,  total",11966537,21139386,19877293,19173556,21247098,22206889,22609080,22737342,22245956,22405151,23333121,22238624,23007017,22276502,22388975,22010596,21684641,23097140,23268056,22839158
3,"Gas  used as a pipeline fuel, total",347075,722166,634622,659816,685362,700335,711446,751470,635477,645319,642210,624964,666920,591492,566187,584026,584213,621364,647956,598216
