,Rail Container,2002
0,Total U.S.-Mexican border,602322
1,Total top 5 gateways,591255
2,"Laredo, TX",296782
3,"Eagle Pass, TX",98236
4,"Brownsville, TX",96591
5,"Nogales, AZ",52236
6,"El Paso, TX",47410
