,Buses – top 5 gateways,2002
0,"Buffalo-Niagara Falls, NY",50582
1,"Detroit, MI",36603
2,"Blaine, WA",15748
3,"Champlain-Rouses Point, NY",10415
4,"Sault Ste. Marie, MI",8831
