,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Certificated carriersa,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
2,Jet fuel (million liters),7397,14721,29742,28610,32249,38289,46228,43002,43903,45273,47320,48498,49919,51700,50358,54853,52631,49635,46512,47003,50649,50286,49284,49206,47202,42198,41854,40990,38755,38445,39070
3,General aviationb,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
4,Aviation gasoline (million liters),916,1105,2086,1560,1968,1594,1336,1340,1189,1014,1007,1086,1092,1106,1178,1307,1260,1057,1047,1031,1033,1117,1073,1036,939,861,836,818,781,747,746
5,Jet fuel (million liters),N,212,787,1715,2900,2616,2510,2184,1870,1719,1756,2120,2300,2430,3084,3662,3679,3477,3552,3529,4659,5779,6218,5624,6457,5477,5431,5513,5432,4768,5186
6,Highway,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
7,"Gasoline, diesel and other fuels (million liters)",Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
8,"Light duty vehicle, short wheel base and motorcyclec",155849,188222,256950,281078,265683,271414,264067,244163,248425,254554,257707,258424,262781,265335,272175,278207,277375,279180,286413,286352,286194,293778,284776,340883,325843,326075,330146,334474,335388,335429,338040
9,"Light duty vehicle, long wheel basec",N,U,46610,72229,90078,103580,134802,144667,154933,162209,166982,172632,179255,186953,191019,200093,200395,202602,209031,229994,240060,222844,229719,139721,132207,135179,137225,133756,132922,133090,141359
10,Single-unit 2-axle 6-tire or more truckd,N,52420,15021,20517,26206,28008,31635,30934,31180,32131,34190,34887,35617,36249,25805,35477,36200,36595,39068,33616,33912,35966,37295,61757,64895,61523,57147,53811,54421,54896,56379
11,Combination truck,N,25203,27815,34739,49350,53015,61070,63629,65170,67183,70609,74865,76437,76850,95233,92884,97155,96573,100236,90151,91573,104813,106395,116986,115686,106181,113285,106677,105898,109001,110222
12,Bus,3131,3312,3104,3986,3854,3157,3388,3271,3324,3517,3649,3663,3747,3886,3937,4347,4210,3883,3784,3668,5149,4240,4347,7653,7786,7522,7272,7329,7809,8012,8454
13,Transite,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
14,Electricity (million kWh),2908,2584,2561,2646,2446,4216,4837,4853,4716,4865,5081,5068,4923,4908,4962,5126,5382,5485,5529,5508,5657,5765,5770,6216,6337,6492,6414,6534,6506,6651,6673
