,Â,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,"Total, all modes",38599,37807,38795,36698,41807,45714,49003,52031,49766,47710,47692,45676,45816,49668,51460,46846,43216,49506
1,Highway,28693,28500,29611,28021,31181,35012,36567,38605,37141,34874,34960,35586,35186,36010,36340,33215,30268,36902
2,Air,2839,2521,2225,2220,2223,2149,2669,3694,3337,3524,4014,4172,4030,3797,3759,3074,2928,2807
3,Transit,6906,6632,6822,6322,8289,8484,9679,9622,9207,9050,8656,5876,6576,9819,11182,10297,9324,8989
4,Water,96,84,46,47,30,12,1,0,0,0,0,0,0,2,116,194,157,117
5,Rail,33,35,55,51,47,18,41,56,27,24,40,22,5,16,28,37,286,474
6,Pipeline,16,17,18,19,20,18,19,25,24,18,22,21,20,23,35,29,30,23
7,General support,17,18,18,18,17,22,26,31,30,220,0,0,0,0,0,0,223,193
