,Train,2012
0,Total U.S.-Canadian border,28524
1,Total top 5 gateways,15591
2,"International Falls, MN",3924
3,"Port Huron, MI",3269
4,"Detroit, MI",3073
5,"Warroad, MN",2777
6,"Blaine, WA",2548
