,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Air carrier, certificated, domestic, all services",50049,85659,174520,192464,307008,443959,556629,544096,570938,582948,625086,650033,699504,725288,744730,785263,829775,782956,778157,813687,898327,939489,947052,977779,938717,887941,908788,926359,934226,949018,978114
2,"Highway, total",2047212,2502912,3286284,3870399,4270411,4848878,5731210,5794157,5950903,6064114,6175877,6225055,6386498,6581197,6760265,6927051,7323440,7385358,7547724,7629479,7833881,7887734,7974402,8016285,7886060,6825785,6831397,6808265,6879748,6930887,7035580
3,"Light duty vehicle, short wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5351032,5148478,4507134,4529562,4575485,4612480,4638407,4633149
4,"Passenger carsa,d",1842173,2244718,2817796,3144925,3237982,3370965,3671543,3540975,3553795,3561931,3620609,3680388,3761146,3844827,3965147,4015104,5001406,5051924,5176916,5214853,5295644,5330719,5207439,N,N,N,N,N,N,N,N
5,"Motorcycleb,c",U,U,5274,9965,19725,19009,19995,18759,19226,19609,19940,17344,17561,17846,18203,18736,24885,22729,22832,23267,30607,28150,39154,43731,42534,36094,32091,32069,37070,35304,34616
6,"Light duty vehicle, long wheel basea,b,c",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1636715,1689275,1327699,1338832,1298979,1292651,1297112,1372743
7,"Other 2-axle 4-tire vehiclesa,d",U,U,363090,584622,838104,1107376,1608947,1797569,1933896,2016283,2042728,2021571,2089410,2176919,2221791,2305586,1370778,1429314,1449525,1474098,1588837,1621635,1764987,N,N,N,N,N,N,N,N
8,"Truck, single-unit 2-axle 6-tire or morec",158602,207234,43583,55693,64073,73130,83527,85131,86702,91366,98627,100914,103114,107654,109469,113143,161716,166519,172710,181410,179020,176602,198460,193087,204153,193454,178216,167055,169955,171526,175904
9,"Truck, combination",46436,50960,56543,75195,110527,125630,151827,155535,160146,165949,175309,185800,191349,200499,206574,213051,259487,271930,270719,279284,278352,281841,285370,296440,295839,270530,282905,263597,263291,271071,273315
10,Buse,U,U,U,U,U,152767,195371,196189,197138,208977,218663,219038,223918,233451,239081,261430,505168,442942,455024,456569,461421,448787,478991,495280,505782,490873,469790,471080,504300,517466,545852
11,"Transitf, total",U,U,U,U,64139,63699,66213,65505,64762,63382,63706,64065,62739,64664,66957,69651,72582,74847,74184,73510,74908,75840,79669,83482,86441,86741,84695,87433,88786,90875,91752
12,Motor buse,U,U,U,U,35068,34055,33766,33941,32728,32584,30307,30285,27040,28178,28765,30069,30267,31516,31670,30865,30450,31261,32815,32811,34115,33957,33104,"(R) 33,086","(R) 34,025","(R) 34,210","(R) 34,487"
13,Light railg,U,U,U,U,613,563,919,1065,1128,1135,1341,1384,1537,1647,1795,1915,2156,2297,2304,2375,2537,2735,3003,3107,3349,3534,3497,3804,4005,4127,4304
14,Heavy rail,U,U,U,U,16991,16781,18467,16943,17280,16465,17168,16993,18556,19402,19770,20764,22279,22817,21989,21897,23101,23203,23692,25972,27117,27045,26404,27868,28190,28976,29514
15,Trolley bus,U,U,U,U,352,492,311,314,320,303,301,301,296,304,292,300,309,301,302,283,279,278,264,250,259,270,256,258,261,252,254
16,Commuter rail,6754,6643,7390,7263,10486,10515,11397,11819,11780,11169,12868,13267,13439,12935,14005,14104,15128,15359,15288,15378,15635,15241,16671,17923,17754,17911,17339,18208,17897,18887,18668
17,Demand responsee,U,U,U,U,U,586,694,731,797,904,929,977,629,855,826,900,946,1007,1048,1108,1133,1188,1212,1252,1358,1418,1354,1362,1370,1371,1390
18,Ferry boath,U,U,U,U,U,U,460,454,436,418,418,418,411,409,451,474,480,475,485,590,575,578,579,613,628,587,626,627,647,647,667
19,"Otherh,i",U,U,U,U,628,707,200,238,293,404,373,439,830,932,1053,1125,1018,1074,1098,1012,1199,1355,1434,1555,1860,2018,2116,"(R) 2,220","(R) 2,391","(R) 2,405","(R) 2,469"
20,Rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
21,Intercity/Amtrakj,27462,21340,9944,6326,7247,7765,9748,10095,9803,9976,9529,8924,8127,8314,8536,8578,8970,8965,8590,9141,8869,8660,8706,9309,9943,9518,10332,10570,10948,10959,10742
22,Commuter rail,6754,6643,7390,7263,10486,10515,11397,11819,11780,11169,12868,13267,13439,12935,14005,14104,15128,15359,15288,15378,15635,15241,16671,17923,17754,17911,17339,18208,17897,18887,18668
23,Transit- Light railg,U,U,U,U,613,563,919,1065,1128,1135,1341,1384,1537,1647,1795,1915,2156,2297,2304,2375,2537,2735,3003,3107,3349,3534,3497,3804,4005,4127,4304
24,Transit- Heavy rail,U,U,U,U,16991,16781,18467,16943,17280,16465,17168,16993,18556,19402,19770,20764,22279,22817,21989,21897,23101,23203,23692,25972,27117,27045,26404,27868,28190,28976,29514
