,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL demand,230005,269471,339178,389882,396854,407121,430044,424806,434878,441300,449392,455209,464074,470279,484449,498845,499261,506261,522543,526764,534295,532036,529178,529569,514726,517449,521274,511581,510918,511565,520596
1,Highway,209820,253541,324025,376094,383019,391960,414614,408496,420084,430282,437904,443125,452412,457800,472018,487345,487879,490900,506247,509679,516402,513546,510585,512596,500450,502997,506205,496928,496842,497019,505913
2,"Nonhighway, total",20185,15930,15152,13788,13834,15160,15430,16310,14795,11018,11488,12083,11662,12479,12431,11500,11382,15361,16297,17086,17893,18490,18593,16972,14276,14452,15069,14653,14076,14545,14682
3,Agriculture,8675,7432,7313,5924,4009,4091,2579,2949,3049,3204,3452,3508,3475,3727,3433,2661,2469,3034,3149,3229,4141,4080,4651,4015,2399,2560,2967,3025,3312,2478,2439
4,Aviationa,5011,1898,1488,1551,1563,1444,1366,1282,1303,1289,1379,1389,1301,1267,1329,1219,1120,1347,1293,1152,1190,1257,1346,1369,1127,1234,910,837,730,805,667
5,Marine,230,365,2264,2762,3983,3986,4923,6472,4994,3307,3394,4014,3761,3737,3619,4156,4256,3762,4093,4192,3909,4776,4684,4624,4302,4279,4418,4179,4138,4249,5371
6,Otherb,6270,6235,4087,3551,4280,5639,6562,5608,5448,3218,3263,3172,3124,3749,4050,3464,3537,7218,7762,8512,8654,8377,7912,6964,6449,6379,6775,6612,"(R) 5,896","(R) 7,013",6206
