,Personal vehicle passengers ─ top 5 gateways,2012
0,"San Ysidro, CA",19944913
1,"El Paso, TX",15908404
2,"Hidalgo, TX",9484335
3,"Otay Mesa, CA",9297601
4,"Laredo, TX",8767939
