,Truck,2008
0,Total U.S.-Mexican border,4866252
1,Total top 5 gateways,3893000
2,"Laredo, TX",1555197
3,"Otay Mesa, CA",776972
4,"El Paso, TX",758856
5,"Hidalgo, TX",476000
6,"Calexico East, CA",325975
