,Truck Container,2009
0,Total U.S.-Mexican border,4278741
1,Total top 5 gateways,3408198
2,"Laredo, TX",1382455
3,"Otay Mesa/San Ysidro, CA",686119
4,"El Paso, TX",639896
5,"Hidalgo, TX",420646
6,"Nogales, AZ",279082
