,Truck Container,2005
0,Total U.S.-Mexican border,4677562
1,Total top 5 gateways,3740341
2,"Laredo, TX",1455504
3,"Otay Mesa/San Ysidro, CA",744278
4,"El Paso, TX",734851
5,"Hidalgo, TX",494572
6,"Calexico East, CA",311136
