,Personal vehicle passengers ─ top 5 gateways,2006
0,"San Ysidro, CA",31868563
1,"El Paso, TX",27999510
2,"Laredo, TX",14244080
3,"Brownsville, TX",14023353
4,"Hidalgo, TX",12632201
