,Â,1975-1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,(R) 2013,2014,Total  1975-2014
0,"Safety beltsa,b",68940,9882,10710,11259,11680,11941,12882,13295,14264,15095,15548,15688,15458,15223,13312,12757,12670,12071,12386,12644,12802,330507
1,Air bagsc,730,536,783,973,1208,1491,1716,1978,2324,2519,2660,2752,2824,2800,2557,2481,2403,2341,2422,2398,2396,42292
2,Motorcycle helmets,15076,624,617,627,660,745,872,947,992,1173,1324,1554,1667,1788,1836,1486,1551,1622,1715,1640,1669,40185
3,Age 21 minimum legal drinking age,14816,851,846,846,861,901,922,927,922,918,927,882,888,831,716,626,560,543,537,508,485,30313
4,Child restraints,3107,408,480,444,438,447,479,388,383,447,455,424,427,388,286,307,303,262,285,263,252,10673
