,Truck Container,2007
0,Total U.S.-Canadian border,6365752
1,Total top 5 gateways,4306192
2,"Detroit, MI",1725426
3,"Buffalo-Niagara, NY",1088469
4,"Port Huron, MI",770282
5,"Champlain-Rouse Pt., NY",366059
6,"Blaine, WA",355956
