,Personal vehicles ─ top 5 gateways,2010
0,"San Ysidro, CA",13348364
1,"El Paso, TX",9967959
2,"Hidalgo, TX",5604124
3,"Laredo, TX",4863814
4,"Brownsville, TX",4640465
