,Truck Container,2012
0,Total U.S.-Mexican border,5083126
1,Total top 5 gateways,4088740
2,"Laredo, TX",1760041
3,"Otay Mesa/San Ysidro, CA",781335
4,"El Paso, TX",735018
5,"Hidalgo, TX",475318
6,"Calexico East, CA",337028
