,SOC code,Occupation,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
42,49-3093,Tire repairers and changers,99880,88530,86200,81560,85030,87110,100860,103120,100510,98520,92440,94120,94740,96880,99370,100510,107500.0
43,51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",18070,32680,33620,25690,19830,18710,22820,27680,34410,43330,39870,36320,36570,41180,42810,40630,42810.0
44,51-9122,"Painters, transportation equipment",45920,43270,44090,45670,47390,49810,52650,52170,51260,50310,46810,43300,44730,46290,46770,49950,51760.0
45,51-9197,Tire builders,16680,15790,13410,13020,16400,17960,19860,23210,20530,21740,17820,15020,16690,17360,17570,17680,17710.0
46,53-6031,Automotive and Watercraft Service Attendants,109050,106010,107650,102550,96450,90640,96340,94780,93140,84480,79480,86440,102090,108510,112970,104750,109710.0
47,53-7061,Cleaners of vehicles and equipment,302380,301330,304500,311070,321630,330520,333350,334560,336210,330850,298500,288110,290780,302960,311940,321740,336960.0
48,Transportation Infrastructure construction and maintenance occupations,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,
49,47-2071,"Paving, surfacing, and tamping equipment operators",58410,56330,57880,58760,60210,61860,63220,63090,63850,61230,54850,51830,54120,54460,55720,54940,53110.0
50,47-4051,Highway maintenance workers,139540,145790,148390,146290,139810,136550,140600,138670,137140,136420,139490,142530,143760,141180,139070,140650,142300.0
51,47-4061,Rail-track laying and maintenance equipment operators,8620,9940,11680,10450,12120,10430,13510,13680,14050,15020,14880,15520,15590,16870,15590,14820,14470.0
52,49-9097,Signal and track switch repairers,3720,5540,8550,7990,7600,7780,6100,5980,6090,6570,6450,7400,8300,8600,7960,7880,8190.0
53,53-7031,Dredge operators,1910,3100,2920,2850,2190,1730,1720,1780,1910,1910,1990,1720,1590,1740,1750,1900,1850.0
54,Secondary Support Service Occupations,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,
55,13-1032,"Insurance appraisers, auto damage",19310,12320,12110,13270,11260,12520,12900,12630,12150,11280,10960,10280,10950,11770,13180,13690,15270.0
56,33-3041,Parking enforcement workers,7660,8040,9160,10180,9690,9990,10140,10090,9910,9530,9670,9430,9310,9210,8790,8680,8710.0
