,Truck,2011
0,Total U.S.-Canadian border,5490375
1,Total top 5 gateways,3698745
2,"Detroit, MI",1474775
3,"Buffalo-Niagara, NY",926447
4,"Port Huron, MI",673707
5,"Blaine, WA",338570
6,"Champlain-Rouse Pt., NY",285246
