,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Air,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,"Air carrier, domestic, all services",858,1134,2068,1638,2276,3026,3963,3854,3995,4156,4378,4628,4807,4907,5030,5326,5662,5545,5613,6106,6602,6716,6606,6733,6446,5935,5976,6005,5956,5965,"(R) 5,947",6046
2,General aviationa,1769,2562,3207,4238,5204,4673,4548,4400,3465,3253,3358,3795,3524,3877,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,"Highway, total",718763,887811,1109724,1327664,1527295,1774827,2144362,2172050,2247151,2296378,2357588,2422696,2485848,2561695,2631522,2691056,2746925,2795610,2855508,2890221,2964788,2989430,3014371,3031124,2976528,2956764,2967266,2950402,2969433,2988281,3025656,3130509
4,"Light duty vehicle, short wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2104416,2024757,2015714,2025745,2046282,2062828,2074423,2072071,U
5,"Passenger carsb,e",587012,722696,916700,1033950,1111596,1246798,1408266,1358185,1371569,1374709,1406089,1438294,1469854,1502556,1549577,1569100,1600287,1627365,1658474,1671967,1699890,1708421,1690534,N,N,N,N,N,N,N,N,N
6,"Motorcyclec,d",U,U,2979,5629,10214,9086,9557,9178,9557,9906,10240,9797,9920,10081,10283,10584,10469,9633,9552,9576,10122,10454,12049,21396,20811,20822,18513,18542,21385,20366,19970,U
7,"Light duty vehicle, long wheel-baseb,c,d",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,586618,605456,617534,622712,604175,601232,603307,638484,U
8,"Other 2-axle 4-tire vehiclesb,e",U,U,123286,200700,290935,390961,574571,649394,706863,745750,764634,790029,816540,850739,868275,901022,923059,942614,966034,984020,1027164,1041051,1082490,N,N,N,N,N,N,N,N,N
9,"Truck, single-unit 2-axle 6-tire or mored",98551,128769,27081,34606,39813,45441,51901,52898,53874,56772,61284,62705,64072,66893,68021,70304,70500,72394,75866,77748,78441,78496,80344,119979,126855,120207,110738,103803,105605,106582,109301,U
10,"Truck, combination",28854,31665,35134,46724,68678,78063,94341,96645,99510,103116,108932,115451,118899,124584,128359,132384,135020,136534,138737,140128,142370,144028,142169,184199,183826,168100,175789,163791,163602,168436,169830,U
11,Busf,4346,4681,4544,6055,6059,4478,5726,5750,5778,6125,6409,6420,6563,6842,7007,7662,7590,7070,6845,6782,6801,6980,6783,14516,14823,14387,13770,13807,14781,15167,15999,U
12,"Transitg, total",2143,2008,1883,2176,2287,2791,3242,3306,3355,3435,3468,3550,3082,3201,3347,3500,3605,3735,3855,3915,3972,4054,4127,4238,4375,4475,4400,4331,4347,4413,4429,U
13,Motor busf,1576,1528,1409,1526,1677,1863,2130,2167,2178,2210,2162,2184,1813,1849,1904,1985,2041,2104,2156,2177,2169,2192,2214,2241,2272,2285,2229,2109,2071,1996,2012,U
14,Light railh,75,42,34,24,18,17,24,28,29,28,34,35,37,41,43,48,52,54,61,64,67,69,74,84,88,90,93,96,101,109,114,U
15,Heavy rail,391,395,407,423,385,451,537,527,525,522,532,537,543,558,566,578,595,608,621,630,642,646,652,657,674,685,666,655,656,674,676,U
16,Trolley bus,101,43,33,15,13,16,14,14,14,13,14,14,14,14,14,14,15,13,14,14,13,13,12,11,12,13,12,12,12,12,11,U
17,Commuter rail,N,N,N,173,179,183,213,215,219,224,231,238,242,251,259,266,271,277,284,286,295,303,315,325,337,337,342,339,344,355,367,U
18,Demand responsef,N,N,N,N,N,247,306,335,364,406,464,507,363,410,469,494,532,578,613,640,651,683,708,752,803,847,807,804,808,817,824,U
19,Ferry boati,N,N,N,N,U,U,2,2,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,U
20,"Otheri,j",N,N,N,15,15,15,16,19,24,30,29,34,68,77,90,112,97,100,104,101,131,144,149,163,187,214,248,313,350,447,422,U
21,Rail,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
22,"Class I freight, train-miles",404,421,427,403,428,347,380,375,390,405,441,458,469,475,475,490,504,500,500,516,535,548,563,543,524,436,476,493,500,504,518,U
23,"Class I freight, car-miles",28170,29336,29890,27656,29277,24920,26159,25628,26128,26883,28485,30383,31715,31660,32657,33851,34590,34243,34680,35555,37071,37712,38955,38186,37226,32115,35541,36649,36525,35253,37193,U
24,"Intercity/Amtrakk, train-miles",209,172,93,30,30,30,33,34,34,35,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,37,37,38,38,38,U
25,"Intercity/Amtrakk, car-miles",2208,1775,690,253,235,251,301,313,307,303,304,292,276,288,312,342,368,378,379,332,308,265,264,267,272,283,295,296,319,325,325,U
26,Total train-milesl,613,593,520,433,458,377,413,409,424,440,475,490,499,507,508,524,539,536,537,553,572,584,599,581,562,475,513,530,538,542,556,U
