,"Reported Offenses, Violent Crime",1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
65,Vandalismk,17228,8627,9539,6571,6895,7312,2971,1130,953,994,1298,1748,1751,1493,1184,843,5,3
66,Motor bus,13343,6167,5262,3656,4178,4579,1410,523,456,429,568,589,673,701,560,416,2,2
67,Commuter rail,1071,309,659,778,507,264,293,145,9,122,276,507,371,252,82,112,0,0
68,Demand responsive,12,17,8,10,16,7,9,7,2,0,5,5,3,6,0,3,1,0
69,Heavy rail,1157,1339,1128,1067,1222,1200,984,190,220,201,209,213,327,257,279,101,0,1
70,Light rail,1505,609,2084,947,892,1215,246,256,246,235,233,408,346,250,238,179,2,0
71,Otherb,140,186,398,113,80,47,29,9,20,7,7,26,31,27,25,32,0,0
72,Sex offensesl,664,803,1047,962,1009,844,798,N,N,N,N,N,N,N,N,N,N,N
73,Motor bus,242,260,363,258,321,220,178,N,N,N,N,N,N,N,N,N,N,N
74,Commuter rail,100,41,82,91,85,84,80,N,N,N,N,N,N,N,N,N,N,N
75,Demand responsive,5,0,6,2,5,1,3,N,N,N,N,N,N,N,N,N,N,N
76,Heavy rail,249,430,517,541,515,477,474,N,N,N,N,N,N,N,N,N,N,N
77,Light rail,59,71,79,68,80,58,60,N,N,N,N,N,N,N,N,N,N,N
78,Otherb,9,1,0,2,3,4,3,N,N,N,N,N,N,N,N,N,N,N
79,Drug abuse violationsm,2578,3944,4355,3792,4131,4083,4339,N,N,N,N,N,N,N,N,N,N,N
80,Motor bus,1037,2122,1970,1414,1705,1443,1179,N,N,N,N,N,N,N,N,N,N,N
81,Commuter rail,303,393,477,495,303,196,389,N,N,N,N,N,N,N,N,N,N,N
82,Demand responsive,1,0,15,21,8,1,2,N,N,N,N,N,N,N,N,N,N,N
83,Heavy rail,1078,1130,1530,1550,1606,1915,2015,N,N,N,N,N,N,N,N,N,N,N
84,Light rail,151,298,336,271,501,520,739,N,N,N,N,N,N,N,N,N,N,N
85,Otherb,8,1,27,41,8,8,15,N,N,N,N,N,N,N,N,N,N,N
86,Driving under the influencen,466,129,205,176,204,194,284,N,N,N,N,N,N,N,N,N,N,N
87,Motor bus,91,82,101,101,132,67,156,N,N,N,N,N,N,N,N,N,N,N
88,Commuter rail,26,21,22,21,12,44,26,N,N,N,N,N,N,N,N,N,N,N
89,Demand responsive,0,0,1,4,0,0,1,N,N,N,N,N,N,N,N,N,N,N
90,Heavy rail,52,8,22,21,42,39,57,N,N,N,N,N,N,N,N,N,N,N
91,Light rail,292,16,31,21,15,33,22,N,N,N,N,N,N,N,N,N,N,N
92,Otherb,5,2,28,8,3,11,22,N,N,N,N,N,N,N,N,N,N,N
93,Drunkennesso,10479,6921,8632,12643,11487,6087,8033,N,N,N,N,N,N,N,N,N,N,N
94,Motor bus,6457,3936,5346,3046,3609,3337,4693,N,N,N,N,N,N,N,N,N,N,N
95,Commuter rail,71,23,226,156,112,170,108,N,N,N,N,N,N,N,N,N,N,N
96,Demand responsive,2,2,46,34,2,1,4,N,N,N,N,N,N,N,N,N,N,N
97,Heavy rail,1511,1617,1601,7340,5831,1240,1308,N,N,N,N,N,N,N,N,N,N,N
98,Light rail,2255,1305,1258,1844,1913,1316,1598,N,N,N,N,N,N,N,N,N,N,N
99,Otherb,183,38,155,223,20,23,322,N,N,N,N,N,N,N,N,N,N,N
100,Disorderly conductp,22206,26178,25325,15897,15971,27314,32569,N,N,N,N,N,N,N,N,N,N,N
101,Motor bus,4681,5025,6978,4521,5471,3745,3253,N,N,N,N,N,N,N,N,N,N,N
102,Commuter rail,810,1085,1399,1525,797,706,607,N,N,N,N,N,N,N,N,N,N,N
103,Demand responsive,5,8,47,5,5,6,2,N,N,N,N,N,N,N,N,N,N,N
104,Heavy rail,15258,19183,15309,8227,7856,21087,27626,N,N,N,N,N,N,N,N,N,N,N
105,Light rail,1164,800,1177,1408,1767,1737,1046,N,N,N,N,N,N,N,N,N,N,N
106,Otherb,288,77,415,211,75,33,35,N,N,N,N,N,N,N,N,N,N,N
107,Trespassingq,3362,3497,7444,6049,3670,4303,4597,2278,4126,3162,3220,4503,4919,6402,6296,4863,N,N
108,Motor bus,928,604,1225,1283,1065,1329,1040,937,1262,1115,1138,1392,1290,1951,2312,1941,N,N
109,Commuter rail,845,674,4150,2850,1080,709,1034,475,270,664,730,1033,1150,1271,601,606,N,N
110,Demand responsive,0,0,2,2,0,0,0,13,2,1,12,36,6,30,46,55,N,N
