,Unnamed: 0,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
0,"Vehicle-miles,total rural and urban (millions)",127404,62215,108491.0,146242.0,170216.0,178156.0,182971.0,191477.0,196380.0,202688.0,205520.0,209032.0,214603.0,217917.0,220811.0,222524.0,222513.0,226963
1,"Rural  highway, total",84508,39244,68776.0,89692.0,100865.0,106031.0,109480.0,114698.0,115142.0,117941.0,120410.0,122736.0,125884.0,123689.0,121330.0,119684.0,118346.0,119617
2,Rural interstate,U,10069,25111.0,35789.0,40034.0,43351.0,45721.0,49336.0,49896.0,51049.0,52484.0,53225.0,54503.0,52925.0,51296.0,51378.0,50204.0,49819
3,Rural other arterial,U,17625,24789.0,31331.0,35040.0,37056.0,37875.0,39193.0,39724.0,40691.0,41649.0,41838.0,42436.0,41342.0,40690.0,39762.0,39277.0,40037
4,Other rural roads,U,11550,18876.0,22572.0,25791.0,25624.0,25884.0,26169.0,25522.0,26201.0,26277.0,27673.0,28945.0,29422.0,29344.0,28544.0,28865.0,29761
5,"Urban highway, totald",42896,22971,39715.0,56550.0,69351.0,72125.0,73491.0,76779.0,81238.0,84747.0,85110.0,86296.0,88719.0,94227.0,99481.0,102840.0,104167.0,107346
6,Urban interstate,U,5634,13135.0,22163.0,25045.0,25639.0,26256.0,28549.0,30193.0,32286.0,32181.0,32690.0,33040.0,35487.0,38083.0,40289.0,40118.0,41405
7,Other urban streets,U,17337,26580.0,34387.0,44306.0,46486.0,47235.0,48230.0,51045.0,52461.0,52929.0,53606.0,55679.0,58740.0,61398.0,62551.0,64049.0,65941
8,"Passenger-miles, totale(millions)",127405,62215,108491.0,146242.0,170216.0,178156.0,182971.0,191477.0,196380.0,202688.0,205520.0,209032.0,214603.0,217917.0,220811.0,222524.0,222513.0,226963
9,Single-unit truckf,98551,27081,39813.0,51901.0,61284.0,62705.0,64072.0,66893.0,68021.0,70304.0,70500.0,72448.0,75866.0,77757.0,78441.0,78496.0,80344.0,81954
10,Combination  truck,28854,35134,68678.0,94341.0,108932.0,115451.0,118899.0,124584.0,128359.0,132384.0,135020.0,136584.0,138737.0,140160.0,142370.0,144028.0,142169.0,145008
11,Ton-miles(millions),U,U,629675.0,848779.0,987923.0,1034041.0,1061952.0,1110554.0,1139777.0,1176388.0,1192825.0,1213208.0,1245542.0,1264773.0,1281573.0,1291515.0,1294492.0,U
12,"Fuel  consumed, all trucks (million gallons)",15882,11316,19960.0,24490.0,27685.0,28993.0,29601.0,29878.0,31975.0,33909.0,35229.0,35179.0,36800.0,32696.0,33150.0,37190.0,37959.0,38550
13,Single-unit  truck,U,3968,6923.0,8357.0,9032.0,9216.0,9409.0,9576.0,6817.0,9372.0,9563.0,9667.0,10321.0,8880.0,8959.0,9501.0,9852.0,10035
14,Combination  truck,U,7348,13037.0,16133.0,18653.0,19777.0,20192.0,20302.0,25158.0,24537.0,25666.0,25512.0,26480.0,23815.0,24191.0,27689.0,28107.0,28515
15,"Average  fuel consumption per vehicle, all trucks (gallons)",1333,2467,3447.0,3953.0,4202.0,4315.0,4221.0,4218.0,4135.0,4352.0,4391.0,4477.0,4642.0,4215.0,4057.0,4385.0,4304.0,4270
16,Single-unit  truck,U,1078,1583.0,1862.0,1841.0,1835.0,1787.0,1809.0,1189.0,1626.0,1614.0,1695.0,1826.0,1518.0,1454.0,1486.0,1482.0,1474
17,Combination  truck,U,8119,9201.0,9441.0,11093.0,11663.0,11561.0,11342.0,12596.0,12096.0,12241.0,11843.0,11631.0,12479.0,12033.0,13269.0,12954.0,12839
18,"Average  miles traveled per gallon of fuel consumed, all trucks",8.0,5.5,5.4,6.0,6.1,6.1,6.2,6.4,6.1,6.0,5.8,5.9,5.8,6.7,6.7,6.0,5.9,5.9
19,Single-unit  truck,U,6.8,5.8,6.2,6.8,6.8,6.8,7.0,10.0,7.5,7.4,7.5,7.4,8.8,8.8,8.3,8.2,8.2
20,Combination  truck,U,4.8,5.3,5.8,5.8,5.8,5.9,6.1,5.1,5.4,5.3,5.4,5.2,5.9,5.9,5.2,5.1,5.1
21,"Average  miles traveled per vehicle, all trucks",10693,13565,18736.0,23603.0,25838.0,26514.0,26092.0,27032.0,25397.0,26014.0,25617.0,26602.0,27071.0,28093.0,27023.0,26235.0,25231.0,25141
22,Single-unit  truck,U,7356,9103.0,11567.0,12491.0,12482.0,12167.0,12637.0,11861.0,12199.0,11897.0,12702.0,13426.0,13295.0,12732.0,12274.0,12083.0,12040
23,Combination  truck,U,38819,48472.0,55206.0,64783.0,68083.0,68075.0,69601.0,64265.0,65260.0,64399.0,63404.0,60939.0,73445.0,70819.0,69020.0,65526.0,65290
