,Personal vehicles ─ top 5 gateways,2015
0,"San Ysidro, CA",14435252
1,"El Paso, TX",12258192
2,"Otay Mesa, CA",6933472
3,"Laredo, TX",5224056
4,"Hidalgo, TX",4594298
