,Â,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,TOTAL motor vehicles,8298,6576,10137,9829,11073,10850,12781,8413,12369,10332,10811,12509,11665,11664,14299,14122,12097,12441,13078,13464,13597,13441,12954,13077,"(R) 11,438","(R) 13,412","(R) 14,187","(R) 11,632",11047
1,Passenger cars,7461,5669,8405,7729,8897,8565,11194,7366,7824,7414,7527,8244,6819,7216,8085,7650,U,U,U,U,U,U,U,U,U,U,U,U,U
2,Trucks,837,908,1732,2100,2177,2284,1587,1048,4545,2918,3284,4265,4846,4447,6214,6472,U,U,U,U,U,U,U,U,U,U,U,U,U
