,Â,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,TOTAL U.S. ton-miles of freight,6092447,6033166,5855352,6004017,6172203,6163215,6248813,6511421,6724664,6683159,6796801,6827067,7015251,7093663,7429968,7721265,7875716,7949315,7976861,8004407,8031954,8059502,8087047,8145550,8204052,8262553,8321057,"(R) 8,379,547",8756886,7983128,8306762,8612616
1,Air,6611,6801,6534,7380,8019,7527,9279,11080,11927,13073,13233,12935,14336,15585,17232,18279,18776,19857,20206,20734,21875,19081,19520,22237,24019,22987,22427,22105,20109,17559,18309,17715
2,Truck,1849246,1852842,1899224,1979484,2076030,2105142,2159193,2275813,2351981,2433184,2492717,2548983,2614454,2725316,2901358,3036799,3118769,3261505,3319375,3354099,3396660,3448546,3544364,3618890,3543600,3581817,3512416,"(R) 3,643,777",4018804,3576214,3668076,3859534
3,Railroad,1360694,1349014,1182577,1227836,1314108,1279241,1301177,1389806,1497469,1526588,1554005,1521187,1603603,1657092,1782732,1922797,2010520,2030951,2114554,2195309,2257582,2334980,2344032,2341159,2458440,2530605,2709558,2656603,2525363,2309810,2491450,2519377
4,Domestic water transportation,1345853,1356917,1294220,1342541,1296045,1303713,1275141,1307281,1299417,1190680,1216951,1238639,1250733,1152877,1189756,1179260,1116422,1032799,982262,957539,942848,907646,893620,884956,906891,863246,819962,807573,759906,696584,733215,729617
5,Coastwise,921460,926739,923735,948617,867111,892009,848082,856738,819913,706464,699522,733100,733360,654657,668083,642891,595794,510761,459693,427378,414445,400848,384977,407214,408583,384650,331640,332950,303495,286578,280822,263104
6,Lakewise,90149,90734,52009,62907,72683,70347,63068,73111,84912,85128,88956,80793,81443,82398,85062,87166,85167,90761,90013,83284,84502,74245,78332,69406,81369,75808,77532,75762,73343,48923,66203,71654
7,Internal,331914,337522,316853,329411,354562,339747,362244,375703,392785,397342,426886,423332,434543,414477,434724,447232,433307,429265,430540,444889,441726,430489,428370,406386,414772,400568,408468,396539,380994,357685,384326,393013
8,Intraport,2330,1921,1623,1606,1689,1609,1748,1729,1807,1746,1587,1413,1387,1345,1886,1971,2153,2012,2016,1988,2175,2063,1940,1951,2167,2221,2323,2323,2074,3398,1864,1846
9,Pipeline,1530043,1467592,1472796,1446775,1478001,1467592,1504022,1527441,1563870,1519634,1519895,1505323,1532124,1542793,1538890,1564130,1611229,1604203,1540465,1476726,1412988,1349250,1285512,1278307,1271103,1263898,1256694,1249489,"(R) 1,432,704",1382961,1395713,1486371
