,Truck Container,2012
0,Total U.S.-Canadian border,5375673
1,Total top 5 gateways,3614963
2,"Detroit, MI",1397518
3,"Buffalo-Niagara, NY",929620
4,"Port Huron, MI",679095
5,"Blaine, WA",327315
6,"Champlain-Rouse Pt., NY",281415
