,Â,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Air carrier, domestica",22.80,20.46,21.91,28.22,46.31,48.77,55.84,61.18,60.64,60.19,59.86,61.39,63.68,63.92,66.88,68.62,73.85,60.07,50.6,54.14,62.23,74.88,81.54,89.71,117.96,98.01,101.53,121.35,135.45,136.95,135.67
1,Index (1990 = 100),41,37,39,51,83,87,100.0,110.0,109.0,108.0,107.0,110.0,114.0,114.0,120.0,123.0,132.0,108.0,91.0,97.0,111.0,134,146,161,211,176,182,217,243,245,243
2,Truckb,U,U,U,U,U,U,12.88,12.46,12.96,13.12,13.56,13.5,13.98,14.27,12.89,13.14,13.75,13.31,13.09,13.33,14.24,15.53,16.52,16.54,U,U,U,U,U,U,U
3,Index (1990 = 100),U,U,U,U,U,U,100.0,97.0,101.0,102.0,105.0,105.0,109.0,111.0,100.0,102.0,107.0,103.0,102.0,103.0,111.0,121,128,128,U,U,U,U,U,U,U
4,Class I rail,1.40,1.27,1.43,2.04,2.87,3.04,2.66,2.59,2.58,2.52,2.49,2.4,2.35,2.4,2.34,2.28,2.26,2.24,2.26,2.28,2.35,2.62,2.84,2.99,3.34,3.01,3.32,3.75,3.95,4.05,4.05
5,Index (1990 = 100),53,48,54,77,108,114,100.0,97.0,97.0,95.0,94.0,90.0,89.0,90.0,88.0,86.0,85.0,84.0,85.0,86.0,89.0,99,107,113,126,113,125,141,149,152,153
6,Barge,N,U,U,U,U,U,1.42,1.41,1.39,1.36,1.4,1.63,1.56,1.5,1.52,1.58,1.67,1.75,1.71,1.77,1.83,U,U,U,U,U,U,U,U,U,U
7,Index (1990 = 100),N,U,U,U,U,U,100.0,99.0,98.0,96.0,99.0,97.0,110.0,97.0,107.0,98.0,97.0,95.0,120.0,125.0,129.0,U,U,U,U,U,U,U,U,U,U
8,Oil pipeline,U,U,U,U,U,U,1.22,1.18,1.21,1.17,1.23,1.28,1.18,1.17,1.11,1.17,1.3,1.34,1.33,1.31,1.34,1.30,1.47,1.61,1.53,1.76,U,U,U,U,U
9,Index (1990 = 100),U,U,U,U,U,U,100.0,96.0,99.0,96.0,101.0,105.0,97.0,96.0,91.0,95.0,106.0,110.0,109.0,107.0,109.0,106,120,132,125,144,U,U,U,U,U
10,Producer Price Index (1990 = 100)c,28,29,33,49,74,88,100.0,102.0,103.0,105.0,105.0,107.0,110.0,111.0,110.0,112.0,116.0,118.0,117.0,120.0,125.0,131,135,140,149,145,151,160,163,165,168
