,Â,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,(R) 2005,(R) 2006,2007
0,Number  of vehicle registrations,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
1,Passenger  car3,61671390,89243557,121600843,133700496,127883469,128386775,129728341,129748704,131838538,132432044,133621420,137633467,135920677,135669897,136430651,136568083,135399945,135932930
2,Other  2-axle 4-tire vehicle3,e,14210591,27875934,48274555,62903589,65738322,68933798,70224082,71330205,75356376,79084979,84187636,85011305,87186663,91845327,95336839,99124775,101469615
3,Motorcycle4,574032,2824098,5693940,4259462,3756555,3897191,3871237,3826373,3879450,4152433,4346068,4903056,5004156,5370035,5767934,6227146,6686147,7138476
4,Motor  vehicle licensed drivers5,87252563,111542787,145295036,167015250,175403465,176628482,179539340,182709204,184860969,187170420,190625023,191275719,194295633,196165667,198888912,200665267,202810438,205741845
5,Number  of employees6 (based on SIC),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
6,Taxicabs,120700,106400,52500,32400,30800,30700,30500,30600,31200,31600,31900,31800,30800,N,N,N,N,N
7,Automotive dealers and service stations,1267200,1617400,1688500,2063100,2116200,2189600,2266700,2310800,2332300,2368100,2409600,2424800,2432200,N,N,N,N,N
8,"Motor vehicles, parts, and supplies",N,N,434300,456000,471400,492100,502800,513000,516600,523700,516800,502100,498000,N,N,N,N,N
9,"Auto repair, services, and parking",N,N,570900,913700,968300,1020100,1080000,1119600,1145200,1196400,1234200,1257200,1263200,N,N,N,N,N
10,Number  of employees7 (based on NAICS),Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â,Â
11,Taxi serviceh,N,N,N,33600,31600,31600,31400,31600,32300,32700,33100,33100,31800,31400,30600,30300,30600,U
12,Wholesale motor vehicles and parts,N,N,N,309400,319900,334600,342500,350200,353600,359500,355700,347300,345600,342100,340700,344200,349200,342010
13,Retail motor vehicle and parts dealers,N,N,N,1494400,1564700,1627100,1685600,1723400,1740900,1796600,1846900,1854600,1879400,1882900,1902300,1918600,1907900,1887020
14,Gasoline stations,N,N,N,910200,902300,922300,946400,956200,961300,943500,935700,925300,895900,882000,875600,871100,861000,855480
15,Parking lots and garagesh,N,N,N,67600,71100,74800,78400,81800,84700,88900,92800,95500,95900,99600,101800,103400,104800,U
16,Automotive repair and maintenance,N,N,N,659400,701300,737900,781400,810500,828300,864200,888100,903900,899600,894200,890600,886100,887400,871800
