,Bus passengers – top 5 gateways,2007
0,"Buffalo-Niagara Falls, NY",1142765
1,"Detroit, MI",870982
2,"Blaine, WA",337322
3,"Champlain-Rouses Point, NY",306898
4,"Sault Ste. Marie, MI",165136
