,FINANCIAL,1960,1970,1980,1990,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,"Expenditures, total ($ millions)",895,2035,8053,9907,9332,10379,11605,13797,16372,17553,21909,26499,U,U,U,U,U,U,U,U,U,U,U,U,U
1,Aircraft,202,339,2853,3398,3910,4260,5298,7174,9573,11262,14291,18524,U,U,U,U,U,U,U,U,U,U,U,U,U
2,Operating costs,693,1696,5200,6509,5422,6119,6307,6623,6799,6291,7618,7975,U,U,U,U,U,U,U,U,U,U,U,U,U
