,Rail Container,2013
0,Total U.S.-Mexican border,837326
1,Total top 5 gateways,827632
2,"Laredo, TX",413401
3,"Eagle Pass, TX",201939
4,"El Paso, TX",84519
5,"Nogales, AZ",83366
6,"Brownsville, TX",44407
