,Â,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Total new passenger car sales,8400,8624,8949,10979,9303,8185,8213,8518,8991,8620,8479,8217,8085,8638,8778,8352,8042,7556,7483,7660,7762,7562,6769,5402,5636,6090,7244,7585,"(R) 7,689",7525
1,Domesticb,7119,7053,6580,8205,6919,6162,6286,6742,7255,7114,7206,6862,6705,6919,6762,6254,5817,5473,5333,5473,5417,5197,4491,3558,3791,4143,5119,5433,"(R) 5,591",5611
2,Imports,1280,1572,2369,2775,2384,2023,1927,1776,1735,1506,1272,1355,1380,1719,2016,2098,2226,2083,2149,2187,2345,2365,2278,1843,1844,1947,2125,2153,2098,1914
3,Japan,313,808,1894,2171,1719,1500,1452,1328,1239,982,727,726,691,758,863,837,930,830,810,923,1154,1183,1142,829,799,806,905,897,820,731
4,Germany,750,493,292,408,263,193,201,186,192,207,237,297,367,467,517,523,547,544,542,534,575,582,507,407,482,522,545,566,546,468
5,Other,217,271,184,196,402,330,275,262,303,317,308,332,322,494,637,738,749,709,797,729,616,600,630,606,563,619,676,690,733,714
