,Personal vehicles ─ top 5 gateways,2014
0,"San Ysidro, CA",11946060
1,"El Paso, TX",11595319
2,"Otay Mesa, CA",6910219
3,"Laredo, TX",5250601
4,"Hidalgo, TX",4565037
